unit,unit_type,config,model,seed,macro_f1,n_cols
loro_to_R2,loro,drop_rssi,xgboost::Light_T1,42,0.7374149659863946,86
loro_to_R2,loro,drop_rssi,xgboost::Light_XM,42,0.6738609112709832,86
loro_to_R2,loro,drop_rssi,xgboost::Sensor,42,0.8089005235602095,86
loro_to_R2,loro,drop_rssi,xgboost::Socket,42,1.0,86
loro_to_R2,loro,drop_rssi,lightgbm::Camera,42,0.6116838487972509,86
loro_to_R2,loro,drop_rssi,lightgbm::Light_T1,42,0.7319727891156462,86
loro_to_R2,loro,drop_rssi,lightgbm::Light_XM,42,0.7031055900621118,86
loro_to_R2,loro,drop_rssi,lightgbm::Sensor,42,0.8010204081632653,86
loro_to_R2,loro,drop_rssi,lightgbm::Socket,42,1.0,86
loro_to_R2,loro,drop_rssi,stacking::Camera,42,0.6456953642384106,86
loro_to_R2,loro,drop_rssi,stacking::Light_T1,42,0.7384615384615385,86
loro_to_R2,loro,drop_rssi,stacking::Light_XM,42,0.6952264381884945,86
loro_to_R2,loro,drop_rssi,stacking::Sensor,42,0.8155844155844156,86
loro_to_R2,loro,drop_rssi,stacking::Socket,42,1.0,86
joint_tb,ceiling,drop_rssi,rf,42,0.8464820177012167,86
joint_tb,ceiling,drop_rssi,xgboost,42,0.8641106202570666,86
joint_tb,ceiling,drop_rssi,lightgbm,42,0.8694361668229084,86
joint_tb,ceiling,drop_rssi,stacking,42,0.8636633898641373,86
pos_R5,main,full94,rf,43,0.696014444295626,94
pos_R5,main,full94,xgboost,43,0.6569126106209839,94
pos_R5,main,full94,lightgbm,43,0.6583908067353137,94
pos_R5,main,full94,stacking,43,0.7200438963805762,94
pos_R5,main,full94,rf::Camera,43,0.8849557522123894,94
pos_R5,main,full94,rf::Light_T1,43,0.26981450252951095,94
pos_R5,main,full94,rf::Light_XM,43,0.6825396825396826,94
pos_R5,main,full94,rf::Sensor,43,0.6427622841965471,94
pos_R5,main,full94,rf::Socket,43,1.0,94
pos_R5,main,full94,xgboost::Camera,43,0.9165487977369166,94
pos_R5,main,full94,xgboost::Light_T1,43,0.08849557522123894,94
pos_R5,main,full94,xgboost::Light_XM,43,0.6980920314253648,94
pos_R5,main,full94,xgboost::Sensor,43,0.5814266487213997,94
pos_R5,main,full94,xgboost::Socket,43,1.0,94
pos_R5,main,full94,lightgbm::Camera,43,0.8625730994152047,94
pos_R5,main,full94,lightgbm::Light_T1,43,0.14965986394557823,94
pos_R5,main,full94,lightgbm::Light_XM,43,0.7060158910329172,94
pos_R5,main,full94,lightgbm::Sensor,43,0.5737051792828686,94
pos_R5,main,full94,lightgbm::Socket,43,1.0,94
pos_R5,main,full94,stacking::Camera,43,0.9033189033189033,94
pos_R5,main,full94,stacking::Light_T1,43,0.3694029850746269,94
pos_R5,main,full94,stacking::Light_XM,43,0.6842684268426843,94
pos_R5,main,full94,stacking::Sensor,43,0.6432291666666666,94
pos_R5,main,full94,stacking::Socket,43,1.0,94
jit_R6,main,full94,rf,43,0.7536787218386124,94
jit_R6,main,full94,xgboost,43,0.7769578127010457,94
jit_R6,main,full94,lightgbm,43,0.7640759809256255,94
jit_R6,main,full94,stacking,43,0.7025556635612216,94
jit_R6,main,full94,rf::Camera,43,0.8394366197183099,94
jit_R6,main,full94,rf::Light_T1,43,0.6062717770034843,94
jit_R6,main,full94,rf::Light_XM,43,0.6149584487534626,94
jit_R6,main,full94,rf::Sensor,43,0.7077267637178052,94
jit_R6,main,full94,rf::Socket,43,1.0,94
jit_R6,main,full94,xgboost::Camera,43,0.9064935064935065,94
jit_R6,main,full94,xgboost::Light_T1,43,0.6169665809768637,94
jit_R6,main,full94,xgboost::Light_XM,43,0.6557734204793029,94
jit_R6,main,full94,xgboost::Sensor,43,0.7055555555555556,94
jit_R6,main,full94,xgboost::Socket,43,1.0,94
jit_R6,main,full94,lightgbm::Camera,43,0.9057104913678619,94
jit_R6,main,full94,lightgbm::Light_T1,43,0.5947441217150761,94
jit_R6,main,full94,lightgbm::Light_XM,43,0.640625,94
jit_R6,main,full94,lightgbm::Sensor,43,0.6793002915451894,94
jit_R6,main,full94,lightgbm::Socket,43,1.0,94
