class,task1,task2,cosine_similarity,l1_distance,error_rate_1,error_rate_2
Light_T1,loro_R2_R4_to_R3,loro_R3_R4_to_R2,0.9869548279325795,0.17324675324675326,0.7575757575757576,0.3856749311294766
Light_T1,loro_R2_R4_to_R3,joint_R2_R3_R4,0.9327563830410852,0.3805194805194806,0.7575757575757576,0.08562691131498468
Light_T1,loro_R2_R4_to_R3,position_R2_R3_R4_to_R5,0.990902919855055,0.15380374138496894,0.7575757575757576,0.7589041095890411
Light_T1,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R6,0.9219420188914044,0.4580681818181818,0.7575757575757576,0.3248730964467005
Light_T1,loro_R2_R4_to_R3,jitter_R2_R3_R4_to_R7,0.9770142154824336,0.24626262626262618,0.7575757575757576,0.2727272727272727
Light_T1,loro_R3_R4_to_R2,joint_R2_R3_R4,0.9785700584095702,0.21428571428571438,0.3856749311294766,0.08562691131498468
Light_T1,loro_R3_R4_to_R2,position_R2_R3_R4_to_R5,0.9995678310816066,0.034038164002062825,0.3856749311294766,0.7589041095890411
Light_T1,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R6,0.9700731496050036,0.28482142857142856,0.3856749311294766,0.3248730964467005
Light_T1,loro_R3_R4_to_R2,jitter_R2_R3_R4_to_R7,0.9982794491501784,0.07301587301587295,0.3856749311294766,0.2727272727272727
Light_T1,joint_R2_R3_R4,position_R2_R3_R4_to_R5,0.9723870760957445,0.2483238782877772,0.08562691131498468,0.7589041095890411
Light_T1,joint_R2_R3_R4,jitter_R2_R3_R4_to_R6,0.9928577600651595,0.1562500000000001,0.08562691131498468,0.3248730964467005
Light_T1,joint_R2_R3_R4,jitter_R2_R3_R4_to_R7,0.9869305958634425,0.18253968253968272,0.08562691131498468,0.2727272727272727
Light_T1,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R6,0.9648105633062098,0.30426444043321293,0.7589041095890411,0.3248730964467005
Light_T1,position_R2_R3_R4_to_R5,jitter_R2_R3_R4_to_R7,0.9967775562092936,0.09245888487765727,0.7589041095890411,0.2727272727272727
Light_T1,jitter_R2_R3_R4_to_R6,jitter_R2_R3_R4_to_R7,0.9826007897213419,0.21180555555555564,0.3248730964467005,0.2727272727272727
Light_XM,single_round_R2,single_round_R3,0.0,2.0,0.1009174311926605,0.09909909909909909
Light_XM,single_round_R2,single_round_R4,0.8000856770572388,0.8181818181818181,0.1009174311926605,0.07272727272727275
Light_XM,single_round_R2,loro_R2_R3_to_R4,0.9912171243090551,0.18181818181818185,0.1009174311926605,0.9755434782608695
Light_XM,single_round_R2,loro_R2_R4_to_R3,0.9976268640704109,0.1212121212121212,0.1009174311926605,0.2682926829268293
Light_XM,single_round_R2,loro_R3_R4_to_R2,0.27055728566238235,1.5405405405405403,0.1009174311926605,0.20273972602739732
Light_XM,single_round_R2,joint_R2_R3_R4,0.8738384132504141,0.6956521739130435,0.1009174311926605,0.13897280966767367
