unit,arm,model,seed,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev_N1,dev_N6,dev_N30,stage1_acc
pos_R5,flat_drop_rssi,lightgbm,46,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.7334187064794107,0.8629451839961465,0.9327184892402283,
jit_R6,flat_full94,rf,42,0.7488747806643499,0.8159771754636234,0.617169373549884,0.6191780821917808,0.6920492721164614,1.0,0.7488747806643499,0.9094232101795768,0.9690476190476189,
jit_R6,flat_full94,xgboost,42,0.7783647964241942,0.9024707412223667,0.6222791293213829,0.6547085201793722,0.7123655913978495,1.0,0.7783647964241942,0.9342857142857144,1.0,
jit_R6,flat_full94,lightgbm,42,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,0.7640759809256255,0.8988112877184232,0.9690476190476189,
jit_R6,flat_drop_rssi,rf,42,0.6983582416835513,0.5759162303664922,0.5898520084566596,0.5962059620596206,0.7298170075349839,1.0,0.6983582416835513,0.8383391196522497,0.9073782991202346,
jit_R6,flat_drop_rssi,xgboost,42,0.7392245027348717,0.657762938230384,0.6230936819172114,0.6350461133069829,0.7802197802197802,1.0,0.7392245027348717,0.8906396803937202,1.0,
jit_R6,flat_drop_rssi,lightgbm,42,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,0.7434294873428366,0.8998623817343029,1.0,
jit_R6,flat_full94,rf,43,0.7536787218386124,0.8394366197183099,0.6062717770034843,0.6149584487534626,0.7077267637178052,1.0,0.7536787218386124,0.8911670553034939,0.9542145593869732,
jit_R6,flat_full94,xgboost,43,0.7769578127010457,0.9064935064935065,0.6169665809768637,0.6557734204793029,0.7055555555555556,1.0,0.7769578127010457,0.9254035714285713,1.0,
jit_R6,flat_full94,lightgbm,43,0.7640759809256255,0.9057104913678619,0.5947441217150761,0.640625,0.6793002915451894,1.0,0.7640759809256255,0.8988112877184232,0.9690476190476189,
jit_R6,flat_drop_rssi,rf,43,0.6969952128547735,0.5892547660311959,0.5862433862433862,0.5888738127544098,0.7206040992448759,1.0,0.6969952128547735,0.8443124793374904,0.9215850815850816,
jit_R6,flat_drop_rssi,xgboost,43,0.7368013456573799,0.6510851419031719,0.6172043010752688,0.6381842456608812,0.7775330396475771,1.0,0.7368013456573799,0.881593846945273,0.9845925925925926,
jit_R6,flat_drop_rssi,lightgbm,43,0.7434294873428366,0.6710526315789473,0.621380846325167,0.6421052631578947,0.782608695652174,1.0,0.7434294873428366,0.8998623817343029,1.0,
jit_R6,flat_full94,rf,44,0.7388432947600209,0.8,0.6,0.6106442577030813,0.6835722160970231,1.0,0.7388432947600209,0.8858651847306348,0.9542145593869732,
