unit,arm,seed,model,macro_f1,f1_Camera,f1_Light_T1,f1_Light_XM,f1_Sensor,f1_Socket,dev30_acc,n_blocks,n_overridden
pos_R5,ovo_full94,43,lightgbm,0.6389355031605237,0.8826979472140762,0.08290155440414508,0.6617021276595745,0.5673758865248227,1.0,0.7666666666666667,60,0
pos_R5,flat_full94,44,rf,0.6914411164347813,0.8545454545454545,0.28052805280528054,0.677309007981756,0.6448230668414154,1.0,0.8,60,0
pos_R5,flat_drop_rssi,44,rf,0.6790980733807815,0.518783542039356,0.48158640226628896,0.7398692810457517,0.6552511415525114,1.0,0.9,60,0
pos_R5,override_gate3,44,rf,0.7276438083699223,0.8545454545454545,0.3745819397993311,0.7151095732410612,0.6939820742637645,1.0,0.8666666666666667,60,850
pos_R5,override_anyfam_loose,44,rf,0.7335480584652072,0.8757396449704142,0.3822525597269625,0.7200929152148664,0.6896551724137931,1.0,0.8833333333333333,60,1293
pos_R5,ovo_full94,44,rf,0.6536392445751702,0.7742998352553542,0.21129326047358835,0.6695005313496281,0.6131025957972805,1.0,0.8,60,0
pos_R5,flat_full94,44,xgboost,0.6531123543780806,0.9209039548022598,0.07760141093474426,0.6944757609921083,0.5725806451612904,1.0,0.7833333333333333,60,0
pos_R5,flat_drop_rssi,44,xgboost,0.7342433967721986,0.6319444444444444,0.5369318181818182,0.7903225806451613,0.7120181405895691,1.0,0.9333333333333333,60,0
pos_R5,override_gate3,44,xgboost,0.7131238190353003,0.9209039548022598,0.22090729783037474,0.714448236632537,0.7093596059113301,1.0,0.8166666666666667,60,694
pos_R5,override_anyfam_loose,44,xgboost,0.6968521502105547,0.874251497005988,0.21739130434782608,0.6680896478121665,0.7245283018867924,1.0,0.8166666666666667,60,1251
pos_R5,ovo_full94,44,xgboost,0.6465191284332137,0.8875562218890555,0.1048951048951049,0.6568109820485745,0.5833333333333334,1.0,0.8,60,0
pos_R5,flat_full94,44,lightgbm,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,0.7833333333333333,60,0
pos_R5,flat_drop_rssi,44,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,override_gate3,44,lightgbm,0.712304284479619,0.8625730994152047,0.27533460803059273,0.7199100112485939,0.7037037037037037,1.0,0.8166666666666667,60,678
pos_R5,override_anyfam_loose,44,lightgbm,0.6923880853621197,0.8174962292609351,0.24854368932038834,0.6810810810810811,0.7148194271481942,1.0,0.7833333333333333,60,1255
pos_R5,ovo_full94,44,lightgbm,0.6389355031605237,0.8826979472140762,0.08290155440414508,0.6617021276595745,0.5673758865248227,1.0,0.7666666666666667,60,0
pos_R5,flat_full94,45,rf,0.6935335986677011,0.8597285067873304,0.28760330578512394,0.6842105263157895,0.6361256544502618,1.0,0.8,60,0
pos_R5,flat_drop_rssi,45,rf,0.6737062636053655,0.5195729537366548,0.45714285714285713,0.7350649350649351,0.6567505720823799,1.0,0.8833333333333333,60,0
pos_R5,override_gate3,45,rf,0.7253275896704034,0.8597285067873304,0.3694915254237288,0.7121387283236994,0.6852791878172588,1.0,0.8666666666666667,60,842
pos_R5,override_anyfam_loose,45,rf,0.7292020594821154,0.8686567164179104,0.3765112262521589,0.7207415990730012,0.6801007556675063,1.0,0.8833333333333333,60,1287
pos_R5,ovo_full94,45,rf,0.6653744105483236,0.7922077922077922,0.23214285714285715,0.6789189189189189,0.6236024844720497,1.0,0.8,60,0
pos_R5,flat_full94,45,xgboost,0.6590326824903515,0.9230769230769231,0.08185053380782918,0.7048054919908466,0.5854304635761589,1.0,0.7666666666666667,60,0
pos_R5,flat_drop_rssi,45,xgboost,0.7318408180885126,0.6215277777777778,0.5418439716312057,0.7854251012145749,0.7104072398190046,1.0,0.9333333333333333,60,0
pos_R5,override_gate3,45,xgboost,0.7155463951577279,0.9230769230769231,0.21868787276341947,0.7188940092165899,0.7170731707317073,1.0,0.8166666666666667,60,681
pos_R5,override_anyfam_loose,45,xgboost,0.6958046756664611,0.8777614138438881,0.20440881763527055,0.6645299145299145,0.7323232323232324,1.0,0.8166666666666667,60,1243
pos_R5,ovo_full94,45,xgboost,0.6472597952367267,0.8915304606240714,0.10211267605633803,0.660377358490566,0.5822784810126582,1.0,0.7833333333333333,60,0
pos_R5,flat_full94,45,lightgbm,0.6583908067353137,0.8625730994152047,0.14965986394557823,0.7060158910329172,0.5737051792828686,1.0,0.7833333333333333,60,0
pos_R5,flat_drop_rssi,45,lightgbm,0.7334187064794107,0.624561403508772,0.5521126760563381,0.7860026917900403,0.7044167610419027,1.0,0.9333333333333333,60,0
pos_R5,override_gate3,45,lightgbm,0.712304284479619,0.8625730994152047,0.27533460803059273,0.7199100112485939,0.7037037037037037,1.0,0.8166666666666667,60,678
pos_R5,override_anyfam_loose,45,lightgbm,0.6923880853621197,0.8174962292609351,0.24854368932038834,0.6810810810810811,0.7148194271481942,1.0,0.7833333333333333,60,1255
pos_R5,ovo_full94,45,lightgbm,0.6389355031605237,0.8826979472140762,0.08290155440414508,0.6617021276595745,0.5673758865248227,1.0,0.7666666666666667,60,0
pos_R5,flat_full94,46,rf,0.6977284530738025,0.8703427719821163,0.2871452420701169,0.6884875846501128,0.6426666666666667,1.0,0.8,60,0
pos_R5,flat_drop_rssi,46,rf,0.676989905037001,0.522202486678508,0.4648493543758967,0.7395833333333334,0.6583143507972665,1.0,0.8666666666666667,60,0
